x,y,R
0.169508788,-10.49567156,0.7
0.171749029,-10.05626715,0.7
0.174885368,-9.569808418,0.7
0.177125609,-9.385050976,0.7
0.180389961,-9.052902765,0.7
0.178469754,-9.239736134,0.7
0.18743072,-8.893748414,0.7
0.193255348,-8.756045301,0.7
0.205032618,-8.680718832,0.7
0.216553861,-8.583224435,0.7
0.231115431,-8.468183519,0.7
0.24455688,-8.428394931,0.7
0.257998329,-8.357467448,0.7
0.271439779,-8.302109413,0.7
0.284881228,-8.262320825,0.7
0.298322677,-8.196583159,0.7
0.311764127,-8.132575431,0.7
0.325205576,-8.044348562,0.7
0.337526905,-7.931902553,0.7
0.349848233,-7.807346974,0.7
0.363289683,-7.696630904,0.7
0.376731132,-7.584184895,0.7
0.390172581,-7.485578395,0.7
0.403614031,-7.385241956,0.7
0.41705548,-7.30566478,0.7
0.430496929,-7.20705828,0.7
0.443938379,-7.113641596,0.7
0.457379828,-7.023684789,0.7
0.470821277,-6.907778903,0.7
0.483590654,-6.794294931,0.7
0.493223693,-6.670777315,0.7
0.506665142,-6.563521122,0.7
0.520106591,-6.502973271,0.7
0.529067558,-6.399176955,0.7
0.544749249,-6.324789595,0.7
0.558190698,-6.240022604,0.7
0.571632147,-6.160445428,0.7
0.585073597,-6.094707761,0.7
0.597394925,-5.984683667,0.7
0.607476012,-5.905279485,0.7
0.611956495,-5.767749366,0.7
0.625877996,-5.664694453,0.7
0.637719273,-5.551074557,0.7
0.646680239,-5.390046106,0.7
0.466714168,-9.917872064,0.5
0.466340794,-10.08048629,0.5
0.466340794,-10.20504187,0.5
0.466340794,-10.32959745,0.5
0.470821277,-9.688136218,0.5
0.469701156,-9.80023624,0.5
0.473061519,-9.566694529,0.5
0.475675134,-9.409270116,0.5
0.47940887,-9.260495397,0.5
0.484262727,-9.073662028,0.5
0.48986333,-8.897208291,0.5
0.499944417,-8.776112589,0.5
0.512265746,-8.685463807,0.5
0.524587075,-8.610038484,0.5
0.538028524,-8.578899589,0.5
0.551469973,-8.542570878,0.5
0.564911423,-8.497592475,0.5
0.578352872,-8.450884133,0.5
0.591794321,-8.409365606,0.5
0.605235771,-8.369577019,0.5
0.61867722,-8.329788431,0.5
0.632118669,-8.284810027,0.5
0.645560119,-8.245021439,0.5
0.659001568,-8.20696279,0.5
0.672443017,-8.18274365,0.5
0.685884467,-8.165444264,0.5
0.699325916,-8.130845492,0.5
0.712767365,-8.092786843,0.5
0.726208815,-8.047808439,0.5
0.739650264,-7.99764022,0.5
0.753091713,-7.949201939,0.5
0.766533163,-7.890384027,0.5
0.779974612,-7.779667956,0.5
0.793416061,-7.708740474,0.5
0.806857511,-7.646462684,0.5
0.82029896,-7.57726514,0.5
0.833740409,-7.508067596,0.5
0.847181859,-7.440599991,0.5
0.860623308,-7.371402447,0.5
0.874064757,-7.302204903,0.5
0.887506207,-7.245116929,0.5
0.900947656,-7.186299017,0.5
0.914389105,-7.118831412,0.5
0.927830555,-7.053093745,0.5
0.941272004,-7.002925526,0.5
0.954713453,-6.966596815,0.5
0.968154903,-6.928538166,0.5
0.981596352,-6.880099885,0.5
0.995037801,-6.829931666,0.5
1.008479251,-6.781493385,0.5
1.0219207,-6.722675473,0.5
1.035362149,-6.670777315,0.5
1.048803599,-6.636178543,0.5
1.062245048,-6.601579771,0.5
1.075686497,-6.56525106,0.5
1.089127947,-6.516812779,0.5
1.102569396,-6.46664456,0.5
1.116010845,-6.406096709,0.5
1.129452295,-6.347278797,0.5
1.142893744,-6.291920762,0.5
1.156335193,-6.231372911,0.5
1.169776643,-6.177744814,0.5
1.183218092,-6.144875981,0.5
1.196659542,-6.112007147,0.5
1.210100991,-6.075678437,0.5
1.22354244,-6.035889849,0.5
1.23698389,-5.989181507,0.5
1.250425339,-5.939013287,0.5
1.263866788,-5.894034884,0.5
1.277308238,-5.855976235,0.5
1.290749687,-5.81272777,0.5
1.304991222,-5.772939182,0.5
1.317632586,-5.674332682,0.5
1.331074035,-5.612054892,0.5
1.344515484,-5.567076489,0.5
1.357956934,-5.487499313,0.5
1.371398383,-5.45463048,0.5
1.384839832,-5.418301769,0.5
1.398281282,-5.331804839,0.5
1.411722731,-5.298936006,0.5
1.42516418,-5.238388155,0.5
1.43860563,-5.19513969,0.5
1.452047079,-5.144971471,0.5
1.465488528,-5.08442362,0.5
1.478929978,-5.020415892,0.5
1.492371427,-4.956408163,0.5
1.505812876,-4.867316326,0.5
1.512533601,-4.703837128,0.5
1.515893963,-4.620800075,0.5
0.577979498,-10.73440308,0.3
0.577232751,-10.91777657,0.3
0.578352872,-10.48529192,0.3
0.580966487,-9.841754766,0.3
0.580593113,-10.12200482,0.3
0.582833355,-9.436949134,0.3
0.583206729,-9.630702257,0.3
0.585073597,-9.302013923,0.3
0.588433959,-9.132479941,0.3
0.596274804,-9.001004607,0.3
0.605235771,-8.863474488,0.3
0.616436978,-8.746703633,0.3
0.629878428,-8.646367194,0.3
0.643319877,-8.561600203,0.3
0.656761326,-8.502782291,0.3
0.670202776,-8.456073948,0.3
0.684316298,-8.432200796,0.3
0.697085674,-8.405905729,0.3
0.710527124,-8.364387203,0.3
0.723968573,-8.329788431,0.3
0.737410022,-8.309029168,0.3
0.750851472,-8.288269904,0.3
0.764292921,-8.270970518,0.3
0.77773437,-8.264050764,0.3
0.79117582,-8.238101685,0.3
0.803497148,-8.143647038,0.3
0.814138296,-8.048673409,0.3
0.829259926,-7.957851632,0.3
0.842701376,-7.918063044,0.3
0.856142825,-7.860975071,0.3
0.868464153,-7.767904374,0.3
0.880785482,-7.670681825,0.3
0.894226931,-7.539206491,0.3
0.90654826,-7.487654321,0.3
0.92110983,-7.437140114,0.3
0.934551279,-7.374862324,0.3
0.947992729,-7.317774351,0.3
0.961434178,-7.276255824,0.3
0.974875627,-7.20705828,0.3
0.988317077,-7.122291289,0.3
1.001758526,-7.046173991,0.3
1.015199975,-6.966596815,0.3
1.028641425,-6.91123878,0.3
1.042082874,-6.859340622,0.3
1.055524323,-6.816092157,0.3
1.068965773,-6.778033508,0.3
1.082407222,-6.710565902,0.3
1.095848671,-6.653477929,0.3
1.109290121,-6.613689341,0.3
1.12273157,-6.572170815,0.3
1.136173019,-6.54103192,0.3
