x,y,R,x1
0.395628315,-12.38973526,0.5,0.622905962
0.40912008,-10.99605029,0.5,0.636397727
0.411897797,-10.51486221,0.5,0.639175444
0.441659045,-10.38429594,0.5,0.668936692
0.471817109,-9.992597107,0.5,0.699094756
0.520625555,-9.600898278,0.5,0.747903202
0.542053654,-9.681585303,0.5,0.769331301
0.536895037,-9.551019026,0.5,0.764172684
0.585703484,-9.310424989,0.5,0.812981131
0.604750682,-9.401381272,0.5,0.832028329
0.631734214,-9.109440946,0.5,0.859011861
0.669828611,-9.109440946,0.5,0.897106258
0.77022322,-8.8086984,0.5,0.997500867
0.810698517,-8.507955853,0.5,1.037976164
0.512292406,-12.43081229,0.25,0.606621152
0.523006455,-10.61462071,0.25,0.617335201
0.550386803,-10.57501072,0.25,0.644715549
0.542053654,-10.4943237,0.25,0.6363824
0.580148051,-10.40336741,0.25,0.674476797
0.563878569,-10.05274562,0.25,0.658207315
0.593639817,-9.841492315,0.25,0.687968563
0.653559129,-9.551019026,0.25,0.747887875
0.683320377,-9.451260523,0.25,0.777649123
0.688875809,-9.360304241,0.25,0.783204555
0.713081624,-9.229737965,0.25,0.80741037
0.756334638,-9.200397228,0.25,0.850663384
0.732128823,-9.159320198,0.25,0.826457569
0.786492702,-8.949533934,0.25,0.880821448
0.821809383,-8.918726161,0.25,0.916138129
0.832523432,-8.789626921,0.25,0.926852178
0.884109595,-8.617983614,0.25,0.978438341
0.886887311,-8.478615117,0.25,0.981216057
0.911093126,-8.356851062,0.25,1.005421872
0.626178781,-12.42494414,0,0.626178781
0.636099197,-10.6219559,0,0.636099197
0.632924664,-10.4385763,0,0.632924664
0.655940029,-10.33001557,0,0.655940029
0.655940029,-10.04981154,0,0.655940029
0.698796225,-9.964723407,0,0.698796225
0.692050343,-9.842959352,0,0.692050343
0.711891174,-9.732931591,0,0.711891174
0.754747371,-9.62290383,0,0.754747371
0.741652422,-9.54955199,0,0.741652422
0.784508619,-9.379375719,0,0.784508619
0.797603568,-9.24587537,0,0.797603568
0.827364816,-9.232672038,0,0.827364816
0.823793466,-9.147583903,0,0.823793466
0.869824196,-9.050759474,0,0.869824196
0.873395546,-8.928995418,0,0.873395546
0.896410911,-8.940731713,0,0.896410911
0.932521225,-8.830703952,0,0.932521225
0.922600809,-8.758819148,0,0.922600809
0.936092574,-8.660527682,0,0.936092574
0.972202888,-8.623851762,0,0.972202888
0.821809383,-12.60098856,-1,0.594531736
0.846015198,-12.43081229,-1,0.618737551
0.821809383,-12.41027377,-1,0.594531736
0.856729247,-11.21610581,-1,0.6294516
0.86228468,-10.40483445,-1,0.635007033
0.886887311,-10.30360891,-1,0.659609664
0.89760136,-10.2434604,-1,0.670323713
0.924584892,-10.02340488,-1,0.697307245
0.916648559,-9.892838603,-1,0.689370912
0.922203992,-9.7930801,-1,0.694926345
0.938473474,-9.832690094,-1,0.711195827
0.978948771,-9.621436793,-1,0.751671124
0.962679289,-9.542216805,-1,0.735401642
1.000773686,-9.551019026,-1,0.773496039
1.008710019,-9.440991265,-1,0.781432372
1.000773686,-9.361771278,-1,0.773496039
1.036090367,-9.341232762,-1,0.80881272
1.027757217,-9.240007222,-1,0.80047957
1.076565664,-9.140248719,-1,0.849288017
1.073787947,-9.069830952,-1,0.8465103
1.092835146,-9.08010021,-1,0.865557499
1.073787947,-8.970072449,-1,0.8465103
1.136484976,-8.980341707,-1,0.909207329
1.166246224,-8.839506173,-1,0.938968577
1.136484976,-8.719209154,-1,0.909207329
1.179737989,-8.708939897,-1,0.952460342
1.174182556,-8.57837362,-1,0.946904909
1.204340621,-8.478615117,-1,0.977062974
1.223387819,-8.368587356,-1,0.996110172
